name	date	time	magnitude	comp1_magnitude	comp2_magnitude	instrument
beta lyr	07/06/2024	23:00	3.75	3.2	5.4	apm 10x50
beta lyr	08/06/2024	23:00	3.5	3.2	4.4	apm 10x50
r lyr	08/06/2024	23:00	4	3.2	4.4	apm 10x50
delta cep	22/07/2024	23:00	3.4	3.35	4.19	apm 10x50
gamma cas	26/07/2024	22:46	2.3	2.2	2.6	apm 10x50
delta cep	26/07/2024	22:50	3.52	3.35	4.19	apm 10x50
gamma cas	30/07/2024	22:05	2	1.25	2.6	apm 10x50
delta cep	30/07/2024	22:15	4.2	3.35	4.19	apm 10x50
gamma cas	01/08/2024	23:00	2.4	2.2	2.6	apm 10x50
delta cep	01/08/2024	23:35	3.56	3.35	4.19	apm 10x50
gamma cas	02/08/2024	22:18	2.28	2.2	2.6	apm 10x50
delta cep	02/08/2024	22:30	3.77	3.35	4.19	apm 10x50
gamma cas	05/08/2024	03:18	2.00	2.2	2.6	apm 10x50
delta cep	05/08/2024	03:30	4.02	3.35	4.19	apm 10x50
gamma cas	05/08/2024	22:54	2.00	2.2	2.6	apm 10x50
delta cep	05/08/2024	22:55	4.3	3.35	4.19	apm 10x50
gamma cas	06/08/2024	22:00	2.2	2.2	2.6	apm 10x50
delta cep	06/08/2024	22:10	3.52	3.35	4.19	apm 10x50
gamma cas	09/08/2024	22:00	2.1	2.2	2.6	apm 10x50
delta cep	09/08/2024	22:15	3.77	3.35	4.19	apm 10x50
gamma cas	11/08/2024	22:00	2.1	2.2	2.6	apm 10x50
delta cep	11/08/2024	22:05	3.91	3.35	4.19	apm 10x50
gamma cas	12/08/2024	21:30	2.2	2.2	2.6	apm 10x50
delta cep	12/08/2024	21:35	3.85	3.35	4.19	apm 10x50
gamma cas	16/08/2024	21:44	2.3	2.2	2.6	apm 10x50
delta cep	16/08/2024	21:45	4.1	3.35	4.19	apm 10x50
